movie_id,name,poster,summary,director,screenwriter,actors,genre,country,language,release_date,runtime,imdb_link,aka,rating,rating_count,short_review_count
36238849,玩具总动员5,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2933391462.jpg,本部续作中，胡迪、巴斯光年、翠斯等“元老级”玩具将跟随小主人邦妮的成长脚步，共同迎接数字时代下的全新挑战。随着无所不能的科技产品逐渐走进童年世界，一批充满科技感的崭新角色也随之重磅亮相：青蛙造型的智能平板小荷、憨态可掬的导航玩具小不丢、活力十足的抓拍好手小拍侠，以及自带笑点的臭屁小机灵。 当身边的同龄朋友们开始沉浸在科技玩具带来的“电子陪伴”中，而玩具伙伴们也迎来了前所未有的生存难题：在屏幕占据注意力的时代，玩具的时代真的结束了吗？在“被取代”危机的当下，这群玩具伙伴还能否携手，帮助邦妮找回属于自己的真实友谊与快乐？,安德鲁·斯坦顿 / 麦肯纳·哈里斯,,汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克 / 格蕾塔·李 / 基努·里维斯 / 谢尔比·拉巴拉 / 克雷格·罗宾森 / 柯南·奥布莱恩 / 安妮·波茨 / 邦妮·亨特 / 华莱士·肖恩 / 埃涅·赫德森 / 约翰·拉森贝格 / 克里斯汀·沙尔 / 托尼·海尔 / 布莱克·克拉克 / 艾伦·卡明 / 斯佳丽·斯皮尔斯 / 迈可拉-米歇尔·哈里斯 / 罗里·艾伦 / 杰伊·埃尔南德斯 / 克莉丝·马歇尔 / 安德鲁·斯坦顿,剧情 / 喜剧 / 动画,美国,英语,2026-06-19(美国/中国大陆),102分钟,,反斗奇兵5(港),8.0,89588,39950
36675848,问心2,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2933401946.jpg,两年后，周筱风援黔归来与林逸、方筱然会合，三人小分队再度并肩作战，但也面对全新挑战。周筱风自身执着奋进且严守医疗原则，机缘之下被破格提拔为东立医院史上最年轻的心内科执行主任。职位的晋升，让他看到了更多可能、面临更大考验，也颠覆了他与林逸方筱然间原本的关系，甚至医院内外的生态平衡也因此被打破。与此同时，他们还需要面对医生永远的对手——病魔。一个接一个的病人与他们身后的家庭期待医护联手拯救。理想与现实时时冲突，无奈和温暖往往共生，他们只有在奋斗中不断成长，继续保持着“问心无愧”。,黎志,周艺飞,赵又廷 / 毛晓彤 / 金世佳 / 张佳宁 / 陈冲 / 黄觉 / 合诗雨 / 王川 / 孙浠伦 / 扈耀之 / 苑冉 / 牟湘盈,剧情,中国大陆,汉语普通话,2026-06-18(中国大陆),45分钟,,,7.6,12411,6468
1291561,千与千寻,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2557573348.jpg,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。 千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。 千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。 一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。 为了救小白，千寻又踏上了她的冒险之旅。,宫崎骏,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 / 菅原文太 / 中村彰男 / 玉井夕海 / 神木隆之介 / 内藤刚志 / 泽口靖子 / 我修院达也 / 大泉洋 / 小林郁夫 / 上条恒彦 / 小野武彦,剧情 / 动画 / 奇幻,日本,日语,2019-06-21(中国大陆),125分钟,,神隐少女(台) / 千与千寻的神隐 / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi,9.4,2550017,475962
35010610,挽救计划,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2931370692.jpg,太阳正在被“吃”掉，绝望吞噬地球。一名“平凡”的中学教师格雷斯（瑞恩·高斯林 饰）背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜 题，寻回唯一的希望火种？ 影片改编自安迪·威尔的同名畅销科幻小说。,菲尔·罗德 / 克里斯托弗·米勒,,瑞恩·高斯林 / 桑德拉·惠勒 / 詹姆斯·奥尔蒂斯 / 莱昂内尔·博伊斯 / 梁振邦 / 米拉娜·薇恩翠 / 普里亚·坎萨 / 利兹·金斯曼 / 马拉基·卡比 / 梅丽尔·斯特里普 / 尤妮斯·胡特哈特 / 雷·波特 / 达米安·德·弗罗贝维尔 / 米娅·索特里乌 / 亚伦·尼尔 / 奥赖恩·李 / 迈克尔·阿金绥尔 / 安妮勒·奥拉莱 / 玛雅·伊娃·侯赛因 / 巴斯蒂安·安东尼奥·富恩特斯 / 爱丽丝·布里塔因 / 特拉维斯·杰 / 杰弗里·兰布 / 保罗·兰伯特 / 米歇尔·格里尼奇 / 伯恩哈德·舒茨,剧情 / 科幻 / 惊悚,美国,英语,2026-03-20(美国/中国大陆),156分钟,,极限返航(台) / 末日圣母号(港) / 孤注一掷 / 万福玛利亚计划,8.6,483939,202596
37332784,我，许可,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2932103692.jpg,00后“母单”女孩儿许可（文淇 饰）面临一场迫在眉睫的妇科手术，却因妈妈胡春蓉（秦海璐 饰）的突袭式造访打乱了所有计划。母女同居，冲突乍起。在新旧观念的摩擦中，没想到女儿对妈妈展开了一次又一次反向教育——跟妈谈心，不如带妈蹦迪；给妈上生理课，不如直接送妈小玩具……最终许可能否顺利手术，胡春蓉又能否鼓起勇气开始新生活？这场笑点和泪点齐飞的大戏，又将如何重塑两人之间的母女关系……,杨荔钠,游晓颖,文淇 / 秦海璐 / 白客 / 李雪琴 / 牛莉 / 刘佳 / 啜妮 / 王和 / 张馨文 / 张懿曼 / 黄少峰 / 李哲霆 / 黄博远 / 李冠廷 / 刘杰毅 / 合文俊 / 翟韬,剧情 / 喜剧,中国大陆,汉语普通话,2026-04-03(中国大陆),118分钟,,两分钟的事 / It's OK,8.1,293172,135696
36937765,一个部门的诞生,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2933113603.jpg,青年德仔（戴玉麒 饰）因电视台会员套餐问题多次拨打客服电话却始终无法退订，前往营业厅线下办理退订业务时遇到重重阻碍，阴差阳错之下变成“持枪劫匪”。客服人员（白只 饰）、执勤警员（麦沛东 饰）连同电视台吉祥物（廖子妤 饰）、来访用户等人尽数被挟持，开心电视台客户服务大厅内闹剧不断。小小的退费纠纷迅速发酵成全城关注的荒诞劫案，就连警方介入帮忙后，也难逃工作人员层层推诿扯皮、热线电话等候永无止境的无解局面，这场离谱的退订风波最终将如何收场？,麦天枢,麦天枢,白只 / 麦沛东 / 梁雍婷 / 戴玉麒 / 廖子妤 / 谢君豪 / 鲍起静 / 谢咏欣 / 伍咏诗 / 邓月平 / 卢宛茵 / 彭栢然 / 黄智伟 / 苏宸褕 / 徐浩昌 / 徐伟栋 / 朱柏谦 / 毛曄穎 / 杨伟伦 / 张达伦,剧情 / 喜剧 / 犯罪,中国香港 / 中国大陆,粤语 / 汉语普通话,2026-06-27(中国大陆),109分钟,,Dog Day Evening,7.4,9845,6428
1292052,肖申克的救赎,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p480747492.jpg,一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。 本片获得1995年奥斯卡7项提名，以及金球奖、土星奖等多项提名。,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节),142分钟,,月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎,9.7,3300911,652154
36894289,翘楚,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2932926393.jpg,若要以这天下为鼎，她定来分一杯羹。 该剧根据阅文集团起点女生网作者希行同名作品改编。,杨龙,李旻,陈都灵 / 周翊然 / 唐晓天 / 王瑞昌 / 吴施乐 / 高茂桐 / 蒋恺,剧情,中国大陆,汉语普通话,2026-06-02(中国大陆),45分钟,,楚后 / Ashes to Crown,4.9,56601,32629
36916000,诺曼底72小时,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2932334501.jpg,影片聚焦诺曼底登陆前夕的紧张局势，围绕盟军远征军最高司令部首席气象学家詹姆斯·斯塔格上校（安德鲁·斯科特 饰）展开，他的职责是向盟军最高指挥官德怀特·戴维·艾森豪威尔（布兰登·费舍 饰）通报决定成败的天气状况。,安东尼·马拉斯,大卫·海格,安德鲁·斯科特 / 布兰登·费舍 / 凯瑞·康顿 / 克里斯·梅西纳 / 戴米恩·路易斯 / 康·奥尼尔 / 乔乔·马卡里 / 亚历山大·汉森 / 塔姆馨·托波尔斯基 / 罗伯特·波特尔 / 乔舒亚·希尔 / 托比·威廉姆斯 / 理查德·克洛西尔 / 迈克尔·本茨 / 克里斯平·莱茨,剧情 / 历史 / 战争,英国 / 法国 / 美国,英语,2026-06-06(中国大陆),100分钟,,诺曼第风暴(港) / 极限高压 / 高压,8.2,51666,21781
35295564,主角,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2932204747.jpg,多年前，县剧团招学员，在团里任司鼓的胡三元（张嘉益 饰）替外甥女做主报名，将年少的她改名易青娥（刘浩存 饰）从家乡带出来学唱秦腔。却因胡三元缘故，易青娥学习秦腔之路履遭波折。但她凭借刻苦劲头和自身条件，仍得到了原本剧团里争唱主角的胡彩香和米兰、还有四位老艺人的慧眼识珠、热情帮扶。她的“破蒙戏”就技惊山乡，领衔出演了主角并改名忆秦娥被调入省秦腔团。新环境里遇到万般困难，但她秉持苦练再苦练，在台上的演出屡获成功。时代不断变化，忆秦娥从放羊娃到烧火丫头再到配角直至主角的奋斗历程中经历了不少起伏，但她始终自信、坚守舞台，不为诱惑所动，活成了自己生活中的主角。站在事业巅峰和历经磨难后的忆秦娥，深深感受到对秦腔艺术的传承才是她作为“主角”的真正意义 。,李少飞,郑桦,张嘉益 / 刘浩存 / 秦海璐 / 窦骁 / 翟子路 / 王晓晨 / 扈耀之 / 王海燕 / 孙浩 / 李泽锋 / 姬他 / 张国强 / 王丽坤 / 刘凯 / 苗阜 / 石文中 / 李晓强 / 韩沛颖 / 姜冠南 / 任小蕾 / 贺琳 / 同超 / 王少熙 / 王墨瞳 / 金绪泽 / 任怡诺 / 王子铭 / 马培铉 / 郭峻卿 / 孙鹏 / 张楚妤 / 常铖 / 孙艳 / 汪煜轩,剧情,中国大陆,汉语普通话,2026-05-10(中国大陆),45分钟,,Protagonist / The Lead,8.1,129788,57693
